unix_time_s,voltage_a0,voltage_a3
1776087246.463617,1.691700,1.010200
1776087246.468621,1.869600,1.022100
1776087246.473624,1.434400,1.015400
1776087246.478616,1.200600,1.002000
1776087246.486648,1.685900,1.010200
1776087246.495776,1.861100,1.021800
1776087246.496026,1.431400,1.014800
1776087246.498639,1.200900,1.002600
1776087246.503640,1.683500,1.010500
1776087246.508637,1.861700,1.022100
1776087246.513626,1.430400,1.014800
1776087246.518615,1.199100,1.002600
1776087246.523621,1.684400,1.010500
1776087246.528625,1.858300,1.022100
1776087246.533630,1.428000,1.014800
1776087246.540483,1.189300,1.002600
1776087246.545997,1.672500,1.009900
1776087246.549058,1.836400,1.022100
1776087246.553621,1.408200,1.014200
1776087246.558622,1.162800,1.001600
1776087246.563616,1.647100,1.009900
1776087246.568623,1.810100,1.020900
1776087246.573619,1.384400,1.013900
1776087246.578632,1.141700,1.001300
1776087246.583615,1.631600,1.009300
1776087246.588997,1.798500,1.020300
1776087246.595784,1.374600,1.013600
1776087246.599392,1.134700,1.001300
1776087246.603626,1.627300,1.009300
1776087246.608631,1.799700,1.020600
1776087246.613620,1.380100,1.013900
1776087246.618615,1.145700,1.000700
1776087246.623623,1.637100,1.009600
1776087246.628619,1.813800,1.021500
1776087246.633627,1.391400,1.014200
1776087246.642196,1.157300,1.001300
1776087246.645634,1.648400,1.009600
1776087246.648766,1.824500,1.021500
1776087246.653622,1.399600,1.014500
1776087246.658633,1.165200,1.002000
1776087246.663636,1.653800,1.009900
1776087246.668618,1.832700,1.022100
1776087246.673620,1.407300,1.014200
1776087246.678619,1.170100,1.001600
1776087246.683628,1.656600,1.009900
1776087246.692297,1.830600,1.021500
1776087246.696040,1.404800,1.014800
1776087246.698786,1.168600,1.002000
1776087246.703626,1.656900,1.009900
1776087246.708625,1.838800,1.021800
1776087246.713629,1.414000,1.014800
1776087246.718616,1.186900,1.002300
1776087246.723631,1.675200,1.009900
1776087246.728619,1.863200,1.022100
1776087246.733619,1.435300,1.015100
1776087246.742419,1.202800,1.002300
1776087246.746175,1.685300,1.010500
1776087246.748971,1.864700,1.021800
