unix_time_s,voltage_a0,voltage_a3
1775750045.162119,0.706500,0.935400
1775750045.166704,0.706200,0.934200
1775750045.171724,0.705900,0.932100
1775750045.176729,0.705600,0.933000
1775750045.181715,0.706500,0.935100
1775750045.196065,0.705900,0.933600
1775750045.196274,0.705600,0.932100
1775750045.197634,0.706500,0.933000
1775750045.201730,0.706500,0.934800
1775750045.206727,0.706500,0.933300
1775750045.211799,0.705900,0.931500
1775750045.216706,0.705900,0.933600
1775750045.221990,0.705600,0.935400
1775750045.229893,0.706200,0.933900
1775750045.231969,0.706200,0.931800
1775750045.246533,0.706500,0.933300
1775750045.246647,0.706500,0.934800
1775750045.247165,0.706500,0.933600
1775750045.251713,0.705600,0.931800
1775750045.256712,0.706500,0.933000
1775750045.261743,0.705900,0.935100
1775750045.266709,0.705900,0.934200
1775750045.271694,0.706500,0.932100
1775750045.276688,0.706500,0.933000
1775750045.281691,0.707100,0.934800
1775750045.290812,0.706200,0.933600
1775750045.294446,0.706500,0.931800
1775750045.296721,0.705900,0.933300
1775750045.301689,0.707400,0.935100
1775750045.306683,0.706500,0.933900
1775750045.311702,0.706500,0.931800
1775750045.316687,0.706500,0.933000
1775750045.321696,0.707700,0.934800
1775750045.326690,0.707100,0.933600
1775750045.331687,0.707100,0.931800
1775750045.340022,0.707100,0.933000
1775750045.343602,0.707100,0.935100
1775750045.346712,0.707400,0.933300
1775750045.351694,0.707100,0.931800
1775750045.356692,0.706500,0.933000
1775750045.361699,0.706800,0.934800
1775750045.366721,0.707400,0.934200
1775750045.371696,0.707700,0.931800
1775750045.376705,0.707100,0.933600
1775750045.381684,0.707700,0.934800
1775750045.392073,0.707700,0.933900
1775750045.394354,0.707100,0.932100
1775750045.396759,0.707100,0.933600
1775750045.401691,0.707700,0.934800
1775750045.406747,0.707700,0.933600
1775750045.411687,0.707700,0.931800
1775750045.416697,0.707700,0.933300
1775750045.421696,0.707700,0.934500
1775750045.426682,0.707100,0.933600
1775750045.431690,0.706800,0.931800
1775750045.440591,0.707700,0.933300
1775750045.444052,0.707700,0.934800
1775750045.446711,0.707700,0.933900
1775750045.451695,0.709000,0.931800
1775750045.456696,0.708700,0.933600
1775750045.461692,0.708700,0.934800
1775750045.466703,0.707700,0.933900
1775750045.471694,0.707700,0.931800
1775750045.476692,0.708700,0.933300
1775750045.481682,0.707700,0.934800
1775750045.490401,0.708700,0.933600
1775750045.495046,0.709000,0.932100
1775750045.496698,0.708400,0.933300
1775750045.501694,0.709000,0.934800
1775750045.506677,0.709000,0.933300
1775750045.511682,0.708700,0.931500
1775750045.516705,0.708100,0.933300
1775750045.521707,0.709300,0.935100
1775750045.526710,0.708100,0.933600
1775750045.531693,0.709000,0.931500
1775750045.539195,0.708700,0.933300
1775750045.544186,0.708400,0.934800
1775750045.546684,0.709000,0.933300
1775750045.551695,0.707700,0.931800
1775750045.556705,0.709000,0.933000
1775750045.561693,0.709600,0.934800
1775750045.566695,0.709000,0.933900
1775750045.571669,0.708700,0.931800
1775750045.576695,0.709000,0.933600
1775750045.581689,0.709600,0.934800
1775750045.589979,0.708400,0.933300
1775750045.593383,0.709000,0.931800
1775750045.597364,0.709600,0.933300
1775750045.601701,0.709600,0.934800
1775750045.606760,0.709000,0.933900
1775750045.611678,0.709600,0.931800
1775750045.616689,0.709300,0.933300
1775750045.621688,0.710500,0.934800
1775750045.626697,0.709000,0.933900
1775750045.631684,0.709000,0.932400
1775750045.639202,0.709000,0.933600
1775750045.643877,0.709900,0.934800
1775750045.646690,0.709600,0.934200
1775750045.651678,0.709600,0.932400
1775750045.657483,0.709600,0.933900
1775750045.662484,0.709900,0.935400
